SIREN;"Raison sociale";Dirigeant;"Site web";Ville;"Code APE";"Résultat net";"Estimation des cotations";"Estimation des encours";"Années d'existence";Département;"Chiffre d'affaires";Effectif;"Capital social";"Capitaux propres";"Code postal";"Date de création";EBITDA;"Forme juridique";Profitabilité;Statuts;Trésorerie;Valorisation;Adresse;"Fonds de roulement";URL
420742660;LATELEC;"Patrick Carricondo";http://www.latecoere.aero/;TOULOUSE;2732Z;-33758225;6;1500000;25;31;232715612;6000;7600000;-19971735;31500;1998-10-31T00:00:00.000Z;-34015747;"SASU Société par actions simplifiée à associé unique";-14;Active;9054660;;"ET 47, 135 RUE DE PERIOLE TOULOUSE, 31500";-71865319;https://infonet.fr/entreprises/42074266000137-latelec/
382372993;"OPTICAL CENTER";"Daniel Kessous";http://www.optical-center.fr/;PARIS;7740Z;552505;3;1500000;33;75;232614150;2000;10000000;47635129;75017;1991-06-17T00:00:00.000Z;22693717;"Société par actions simplifiée";0;Active;26593748;;"OPTICAL CENTER, 74 RUE LAUGIER PARIS, 75017";-16232167;https://infonet.fr/entreprises/38237299300636-optical-center/
301711461;BARDINET;"Compagnie Financiere Europeenne De Prises De Particiption";https://www.bardinet.fr/;BLANQUEFORT;1101Z;12916991;2;1500000;99;33;232541515;244;5000000;202737249;33290;1924-12-19T00:00:00.000Z;18399839;"Société par actions simplifiée";5;Active;1992657;13678690;"DOMAINE DE FLEURENNE, RUE DE FLEURENNE BLANQUEFORT, 33290";160897571;https://infonet.fr/entreprises/30171146100071-bardinet/
304455298;"AUTOMOBILES REPARATIONS NEUVES OCCASIONS";"Jean-patrice Bernard";http://galaxi-phone.fr/;BOURG-EN-BRESSE;4511Z;1110585;5;1500000;49;1;232513313;326;4880000;9407525;01000;1975-01-01T00:00:00.000Z;3025066;"SASU Société par actions simplifiée à associé unique";0;Active;158981;;"AUTOBERNARD, 519 AVENUE DE PARME BOURG-EN-BRESSE, 01000";15008874;https://infonet.fr/entreprises/30445529800162-automobiles-reparations-neuves-occasions/
489967794;"DUNKERQUE LNG";"Olivier Zoltan Marius Heurtin";https://www.fluxys.com/;DUNKERQUE;5221Z;72218790;1;7750;18;59;232479154;;10044000;436378996;59140;2006-02-21T00:00:00.000Z;130234953;"SASU Société par actions simplifiée à associé unique";31;Active;;313909269;"IMMEUBLE DES TROIS PONTS, 30 RUE L HERMITTE DUNKERQUE, 59140";110158350;https://infonet.fr/entreprises/48996779400020-dunkerque-lng/
712046994;"MAKITA FRANCE SAS";"Tadahisa Okochi";https://www.makita.fr/;BUSSY-SAINT-GEORGES;4669A;8855504;3;1500000;52;77;232457602;182;12435500;76864917;77600;1971-09-07T00:00:00.000Z;16032099;"Société par actions simplifiée";3;Active;8686680;37550283;"ZAC LEONARD DE VINCI - 37- 43, 37 AVENUE GRAHAM BELL BUSSY-SAINT-GEORGES, 77600";54006692;https://infonet.fr/entreprises/71204699400216-makita-france-sas/
837940352;"FINANCIERE GRIMONPREZ";"Franck Grimonprez";https://www.log-s.eu/;LESQUIN;6420Z;;5;1500000;6;59;232348439;;60055641;58601575;59810;2018-02-27T00:00:00.000Z;7755470;"Société par actions simplifiée";;Active;34114908;;"CRT 1, 390 RUE DU CALVAIRE LESQUIN, 59810";11711940;https://infonet.fr/entreprises/83794035200011-financiere-grimonprez/
722031176;"DEFENSE CONSEIL INTERNATIONAL";"Laurent Giovachini";https://www.groupedci.com/;PARIS;7112B;;1;1500000;52;75;231940000;650;19215000;156075252;75015;1972-01-01T00:00:00.000Z;48178000;"SA à conseil d'administration";;Active;30697066;66420845;"27-29-IMMEUBLE ARC OUEST, 27 RUE LEBLANC PARIS, 75015";95494432;https://infonet.fr/entreprises/72203117600166-defense-conseil-international/
843194150;"ATLANTIC LOGISTIQUE EST";;https://www.groupe-atlantic.fr/site-de-fontaine/;SAINT-LOUIS;5210B;441561;5;1500000;5;68;231824645;;100000;641573;68300;2018-10-04T00:00:00.000Z;785055;"SASU Société par actions simplifiée à associé unique";0;Active;366;;", 2 RUE DU DOCTEUR MARCEL HURST SAINT-LOUIS, 68300";;https://infonet.fr/entreprises/84319415000010-atlantic-logistique-est/
793618828;"ASPEN NOTRE DAME DE BONDEVILLE";"Lorraine, Angéla Hill";https://www.aspenndb.com/;NOTRE-DAME-DE-BONDEVILLE;2120Z;-1764373;5;147050;11;76;231705368;715;331311134;386966841;76960;2013-06-10T00:00:00.000Z;14383869;"SASU Société par actions simplifiée à associé unique";0;Active;;283369943;", 1 RUE DE L'ABBAYE NOTRE-DAME-DE-BONDEVILLE, 76960";;https://infonet.fr/entreprises/79361882800024-aspen-notre-dame-de-bondeville/
429853351;"MECACHROME FRANCE";"Christian Pierre Noël Cornille";http://www.mecachrome.com/;BLAGNAC;2562B;-13590618;5;1500000;24;31;231642382;1212;74978130;39200635;31700;2000-03-13T00:00:00.000Z;10371388;"Société par actions simplifiée";-5;Active;20585362;;"MECACHROME FRANCE, 7 AVENUE ALBERT DURAND BLAGNAC, 31700";129251405;https://infonet.fr/entreprises/42985335100139-mecachrome-france/
896850286;"ALKERN FRANCE";"Kernal Invest";https://www.alkern.fr/;HARNES;2361Z;8183838;3;1500000;56;62;231612636;2000;7886112;161395683;62440;1968-01-01T00:00:00.000Z;22322727;"Société par actions simplifiée";3;Active;4579756;24267063;"ZI PARC DE LA MOTTE AU BOIS, RUE ANDRE BIGOTTE HARNES, 62440";119796067;https://infonet.fr/entreprises/89685028600510-alkern-france/
529232902;SOFIDAP;"Xavier, André Dubois";https://www.peugeot-armentieres.fr/;BÉTHUNE;4511Z;961974;5;1500000;13;62;231569932;342;5000000;12508303;62400;2010-12-22T00:00:00.000Z;2548218;"Société par actions simplifiée";0;Active;2461581;;"ZAC DU LUC, 1220 AVENUE WINSTON CHURCHILL BÉTHUNE, 62400";31394098;https://infonet.fr/entreprises/52923290200112-sofidap/
522725993;"MAISONNEUVE ET ASSOCIES";"Jean-marie Brousset";https://maisonneuve.biz;"CHATEAU GONTIER SUR MAYENNE";7010Z;;3;1500000;14;53;231515839;6;24461600;83913990;53200;2010-05-15T00:00:00.000Z;-190509097;"Société par actions simplifiée";;Active;11137846;;"ZI EST BELLITOURNE, 5 RUE DE BELLITOURNE CHATEAU GONTIER SUR MAYENNE, 53200";72916437;https://infonet.fr/entreprises/52272599300011-maisonneuve-et-associes/
352747018;SISCA;"Jean Didier Strougar";https://www.sisca.fr/;SÉMÉAC;4674B;3020804;4;1500000;34;65;231456284;650;3242584;30730636;65600;1989-10-01T00:00:00.000Z;5941144;"Société par actions simplifiée";1;Active;5150876;;"RTE DE TOULOUSE, 144 AVENUE FRANCOIS MITTERRAND SÉMÉAC, 65600";22754159;https://infonet.fr/entreprises/35274701800013-sisca/
325857357;"EUROVIA ALSACE LORRAINE";"Pricewaterhousecoopers Audit";http://www.eurovia.fr/;WOIPPY;4211Z;-393216;5;1500000;42;57;231336677;11000;4141657;8194607;57140;1982-07-01T00:00:00.000Z;-494924;"SASU Société par actions simplifiée à associé unique";0;Active;94024265;;"EUROVIA ALSACE LORRAINE, VOIE ROMAINE WOIPPY, 57140";19327894;https://infonet.fr/entreprises/32585735700330-eurovia-alsace-lorraine/
552111809;"KEOLIS SA";"Marie Ange Jay";http://www.keolis.com/;COURBEVOIE;7010Z;-62469662;5;1500000;69;92;231171107;1753;399793620;225058961;92400;1955-01-01T00:00:00.000Z;-13072393;"SA à conseil d'administration";-27;Active;9711576;;"VIA TRANSCAR VIA TRANSPORT SES PRIORIS, 34 AVENUE LEONARD DE VINCI COURBEVOIE, 92400";-1106629863;https://infonet.fr/entreprises/55211180901677-keolis-sa/
837505254;"BLACKROCK FRANCE";"Sébastien Herzog";https://www.blackrock.com/;PARIS;6619B;1124133;4;7462;6;75;231126836;25;125002;19576958;75002;2018-02-02T00:00:00.000Z;4934796;"SASU Société par actions simplifiée à associé unique";0;Active;;;"16-18-LE CENTORIAL, 16 RUE DU QUATRE SEPTEMBRE PARIS, 75002";57566958;https://infonet.fr/entreprises/83750525400016-blackrock-france/
572050334;"CITYZ MEDIA";"Naima Araki";https://www.cityzmedia.fr;BOULOGNE-BILLANCOURT;7312Z;-69865561;6;1500000;67;92;230844615;1001;130462000;105248165;92100;1957-01-01T00:00:00.000Z;-18208607;"Société par actions simplifiée";-30;Active;7078804;;"DAUPHIN-DAUPHIN AFFICHAGE-THOMAS..., 24 QUAI ALPHONSE LE GALLO BOULOGNE-BILLANCOURT, 92100";-20563302;https://infonet.fr/entreprises/57205033402253-cityz-media/
642020390;"SOGEFI FILTRATION";"Julien Grange";https://www.sogefipro.com/;GUYANCOURT;2829B;-12001552;6;1500000;42;78;230792687;621;120596780;37234897;78280;1981-09-01T00:00:00.000Z;16819024;"SA à conseil d'administration";-5;Active;932403;;"IMMEUBLE LE RENAISSANCE, 1 AVENUE CLAUDE MONET GUYANCOURT, 78280";-11758924;https://infonet.fr/entreprises/64202039000141-sogefi-filtration/
582081782;AXIMUM;"Sandra Leïla Jeanne Martin";https://www.aximum.fr/;MAGNY-LES-HAMEAUX;4211Z;4917752;4;1500000;46;78;230785649;914;21975000;31815894;78114;1978-02-01T00:00:00.000Z;4667206;"Société par actions simplifiée";2;Active;27162947;;"AXIMUM BALISAGE, 8 RUE JEAN MERMOZ MAGNY-LES-HAMEAUX, 78114";-1855282;https://infonet.fr/entreprises/58208178200689-aximum/
971503578;"KALHYGE 1";Kalhyge;https://www.kalhyge.fr;IVRY-SUR-SEINE;9601A;-20735288;6;248000;53;94;230673860;2624;1552144;1809961;94200;1971-01-01T00:00:00.000Z;31321476;"SASU Société par actions simplifiée à associé unique";-8;Active;1539814;;"4-6-LA RED LAB,, 4 RUE TRUILLOT IVRY-SUR-SEINE, 94200";-38270241;https://infonet.fr/entreprises/97150357800330-kalhyge-1/
431443407;"AFFINITY PETCARE FRANCE";"Marc Jove Gesti";https://www.affinity-petcare.com/;ISSY-LES-MOULINEAUX;4638B;3792433;4;1500000;24;92;230508417;73;5467680;9806882;92130;2000-04-18T00:00:00.000Z;5610904;"Société par actions simplifiée";1;Active;126815;;"2-4 L ARC EN CIEL, 2 BOULEVARD DES ILES ISSY-LES-MOULINEAUX, 92130";;https://infonet.fr/entreprises/43144340700058-affinity-petcare-france/
429338130;"GAMELOFT SE";"Arnaud Roy De Puyfontaine";https://www.gameloft.com/;PARIS;5821Z;-33583000;6;14879;24;75;230408000;25;4438;-39320;75009;1999-12-01T00:00:00.000Z;-30642000;"Société européenne";-14;Active;389;;", 14 RUE AUBER PARIS, 75009";-23961;https://infonet.fr/entreprises/42933813000058-gameloft-se/
302607957;"BB GR";"Guy Sasson";http://www.bbgr.com/;PARIS;3250B;12850459;3;1500000;50;75;230090646;650;42635386;113952017;75003;1974-01-01T00:00:00.000Z;14169382;"SASU Société par actions simplifiée à associé unique";5;Active;222190;;"PA CHATEAU ROUQUEY, 22 RUE DE MONTMORENCY PARIS, 75003";-15548892;https://infonet.fr/entreprises/30260795700255-bb-gr/
